Teacher Model,Student Model,Cross-Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score
XGBoost,XGBoost,0.999578809,0.996209476,0.996207366,0.996209476,0.996205334
XGBoost,Random Forest,0.999384841,0.996259352,0.996257496,0.996259352,0.996255127
XGBoost,Decision Tree,0.999257374,0.996009975,0.996007055,0.996009975,0.996006199
XGBoost,Bagging,0.999418092,0.996209476,0.996206936,0.996209476,0.996205889
XGBoost,AdaBoost,0.987364295,0.987581047,0.98755115,0.987581047,0.98754594
,,,,,,
Random Forest,XGBoost,0.999739527,0.99755611,0.997557199,0.99755611,0.99755335
Random Forest,Random Forest,0.999778321,0.997456359,0.997456767,0.997456359,0.997453673
Random Forest,Decision Tree,0.999600978,0.997506234,0.997506159,0.997506234,0.997503874
Random Forest,Bagging,0.999700734,0.99755611,0.997556316,0.99755611,0.997553707
Random Forest,AdaBoost,0.987458511,0.9840399,0.984024978,0.9840399,0.984031783
,,,,,,
Decision Tree,XGBoost,0.999517848,0.995610973,0.995608131,0.995610973,0.99560906
Decision Tree,Random Forest,0.999351589,0.995561097,0.995557797,0.995561097,0.995558678
Decision Tree,Decision Tree,0.999761696,0.995561097,0.99555875,0.995561097,0.995559647
Decision Tree,Bagging,0.999817115,0.995511222,0.995509053,0.995511222,0.995509919
Decision Tree,AdaBoost,0.984859317,0.984638404,0.984645319,0.984638404,0.984641741
,,,,,,
Bagging,XGBoost,0.999606521,0.996309227,0.996306876,0.996309227,0.996305734
Bagging,Random Forest,0.999484599,0.996159601,0.996157519,0.996159601,0.996155264
Bagging,Decision Tree,0.999661939,0.99605985,0.996057101,0.99605985,0.996055977
Bagging,Bagging,0.999728444,0.996159601,0.996156896,0.996159601,0.996156107
Bagging,AdaBoost,0.9876303,0.983790524,0.983772427,0.983790524,0.983780508
,,,,,,
AdaBoost,XGBoost,0.999839283,0.983790524,0.983761924,0.983790524,0.983773404
AdaBoost,Random Forest,0.999861452,0.983690773,0.98366038,0.983690773,0.983672354
AdaBoost,Decision Tree,0.999866992,0.983690773,0.98366038,0.983690773,0.983672354
AdaBoost,Bagging,0.99988916,0.983690773,0.98366038,0.983690773,0.983672354
AdaBoost,AdaBoost,0.997838632,0.983890274,0.983863491,0.983890274,0.983874438
,,,,,,
,,,,,,
XGBoost,XGBoost,0.962969502,0.80536193,0.80424245,0.80536193,0.800607365
XGBoost,Random Forest,0.974320101,0.808310992,0.806723582,0.808310992,0.804413002
XGBoost,Decision Tree,0.960705496,0.805630027,0.803802356,0.805630027,0.801852479
XGBoost,Bagging,0.969732353,0.807774799,0.806251726,0.807774799,0.803734488
XGBoost,AdaBoost,0.742365924,0.689544236,0.683258264,0.689544236,0.66118796
,,,,,,
Random Forest,XGBoost,0.96267143,0.817962466,0.818628727,0.817962466,0.812770361
Random Forest,Random Forest,0.97688201,0.82386059,0.823657489,0.82386059,0.819747554
Random Forest,Decision Tree,0.966365737,0.821179625,0.820533006,0.821179625,0.817256006
Random Forest,Bagging,0.974051898,0.821715818,0.821334967,0.821715818,0.817594947
Random Forest,AdaBoost,0.765960086,0.692493298,0.693183957,0.692493298,0.656817245
,,,,,,
Decision Tree,XGBoost,0.962701308,0.776675603,0.774702105,0.776675603,0.775361984
Decision Tree,Random Forest,0.985580936,0.773726542,0.772048641,0.773726542,0.772680011
Decision Tree,Decision Tree,0.985849139,0.772922252,0.771355991,0.772922252,0.771965091
Decision Tree,Bagging,0.990556148,0.770241287,0.768802461,0.770241287,0.769384485
Decision Tree,AdaBoost,0.71144364,0.698659517,0.69277103,0.698659517,0.675116363
,,,,,,
Bagging,XGBoost,0.964340021,0.815281501,0.814308343,0.815281501,0.811228468
Bagging,Random Forest,0.981589206,0.823592493,0.822357731,0.823592493,0.820493894
Bagging,Decision Tree,0.972592146,0.818766756,0.81732522,0.818766756,0.815583392
Bagging,Bagging,0.97908667,0.820643432,0.819219315,0.820643432,0.81758969
Bagging,AdaBoost,0.765871262,0.710187668,0.714890225,0.710187668,0.679887101
,,,,,,
AdaBoost,XGBoost,0.997676239,0.697855228,0.690441916,0.697855228,0.67693084
AdaBoost,Random Forest,0.99931482,0.698391421,0.691150019,0.698391421,0.67738888
AdaBoost,Decision Tree,0.999195586,0.698391421,0.691201116,0.698391421,0.677273257
AdaBoost,Bagging,0.999344582,0.698391421,0.691201116,0.698391421,0.677273257
AdaBoost,AdaBoost,0.983585044,0.695174263,0.687743934,0.695174263,0.672643341
